Job title,Experience,Technologies,Views,Salary
Strong Middle Python developer for back-end integration with chatGPT,2,"Python, Websockets, REST API, API, Flask/FastAPI, MongoDB, ML/AI",23,до $2000
Senior NLP Engineer,3,"Python, Data Analytics, Azure, NLP",7,
Senior Python Developer,,,3,$4000-4999
Senior Python for Ciklum,,"Python, Kafka",8,
Full Stack (Python + React) (Ukraine),3,"Python, React, TypeScript, SQL",15,
Python developer (AIOHttp),2,,32,
Strong junior or middle software engineer (Python),,"MongoDB, FastAPI, Python, Docker, multiprocessing, gRPC, asyncio",85,
Python Engineer,3,"Python, python developer, Flask",39,
Senior NLP Engineer,3,,10,
Full Stack (Python + React.js) Developer,3,"Python, JavaScript, React",15,$1000-2200
Senior Python Developer,3,,8,$4500-5000
Senior Backend Engineer (Python),,"Python, back-end, backend",21,$5500-6000
Python Team Lead,,,3,
Python Developer - AI/LLM Team,,"LLM, AI, Text generation, Text Processing, multiprocessing and asynchronous programming, memcached, algorithms",12,
Senior Python Engineer (DWH),3,,5,
Python Developer (Middle+),3,"Python, Django, Flask",64,
Senior Python Developer,,"Python, Microservice architecture, CI / CD, FastAPI, PostgreSQL, AWS Lambda, SQLAlchemy",57,
Junior Python Developer in Test (CSA),,,493,
Experienced fullstack django developer,3,"Django, Django REST API, Docker / Docker Compose, HTML / CSS / JavaScript / TypeScript, PostgreSQL, WebSocket",65,
Middle Python developer (Crypto),2,,44,до $2500
Technical Lead (Python),,,7,
Python Developer,,"python, scraping",114,
Junior Python Developer,,"Linux Ubuntu, Python scripting",263,
Senior Python Developer,3,"Python, Unit testing, MariaDB, SQLAlchemy, Kafka, Redis, Docker",57,
Backend developer,3,"Python3, Python",101,
Senior Python Developer,3,"Django, Flask",178,$4000-8000
Senior Python Developer,,"Python, Azure",15,
Senior Python Developer + Senior Python Developer - 2 Senior Python Developers,,"Senior Python Developer, Python Developer, Python",23,
Senior Python Backend Engineer,,,48,
Senior/Lead Python Engineer (with architecture experience),,"Python, Azure, Azure Cloud",30,
Full Stack Developer (Python+React.js),3,,22,
Middle/Senior Python Developer,3,"Django, RabbitMQ",44,
Python (Odoo) Developer,,"Python, Odoo, web development",172,
Quantitative Developer,,"Python, C++ 11/14/17, Linux Ubuntu",20,
Fullstack developer (React+Django),3,,147,
Senior/Lead Python Engineer (with architecture experience),,"Python, Azure",44,
"Senior Python Developer (AsyncIO, FastAPI)",,"Docker, Kubernetes, CI/CD, AWS, GCP, FastAPI, asyncio",72,
Senior Python Developer,,,19,
Python developer,3,,49,до $4000
Software Engineer,3,"Python, Microservices, Kubernetes, Docker",93,
Senior Python Developer,,"Python, Cloud Technologies",24,
Middle Python Backend Developer (iGaming),2,,133,
Middle Python developer,3,,62,
Back-end Developer,,"Python, .Net technologies, React, SQL, NoSQL, DynamoDB, MongoDB",72,
Senior Python Developer,,"Python3, Python",24,
Senior Python Engineer,,"Python3, GCP, Docker, asyncio/aiohttp, asyncio, Flask, FastAPI",24,
Python Backend Developer,2,"Python 3, FastAPI, Starlette, SQLAlchemy, REST API, SQL",246,$1000-3000
"Artificial Intelligence (AI), Python та Machine Learning (ML)",,"Artificial Intelligence, Python, Machine Learning",162,
Middle strong/ Senior Python Engineer (ML/AI product),3,"Django, Celery, AWS, Kubernetes, NoSQL, FastAPI, ChatGPT",49,
Full Stack Engineer,2,"Python, GoLang / Go, React.js, React Native",164,
Python Developer (Shopify),2,"Python, Python3, Shopify",103,$1300-2500
Python developer,2,"Django, Django REST API, Python / Django, DRF, AWS, Docker, Docker Compose",90,
Python Developer,2,,123,
Middle/Senior Python Developer,,"Python, Elasctisearch, Kubernetes",13,
Back End Developer,,"back-end, Backend development, Python, SaaS",83,
Middle Backend Developer (Python),2,"Django, Celery, PostgreSQL, Redis, Kafka, RabbitMQ, Swagger/OpenAPI",218,
"Fullstack Software Developer (Python, React)/ AI Enthusiast",2,"Python, React, Vue, Angular, Kubernetes, Artificial intelligence",126,
Python Backend Developer,,"fintech, Blockchain, RESTful API, FastAPI, NoSQL, Asyncronous Programming",635,
Senior Full Stack Developer (Python),,"Python, Full-stack Web Development, `, Kubernetes",25,
Senior Python Engineer,,"Python, CI/CD, AWS",48,
Architect / Tech Lead / Staff Engineer,,,68,$7000-10000
FullStack Python Tech Lead,,"Python, JavaScript, HTML5",3,
Senior Full-stack Developer with OCR experience,,"Python, Node.js, AngularJS, AWS, ML/OCR",12,
Python Engineer,3,"Python, AWS, Azure, Flask, Django Rest Framework, Fast API, FastAPI",29,
Python Scrapy developer,2,"Python Scrapy, AWS Fargate, JSON, Docker, Github",171,
Senior Python Developer,,"Python, TypeScript, SQL, Firebase, Google Cloud Platform, API",29,$4500-5000
Middle Python Developer,3,"Python, Django, Selenium, Playwright",48,
Senior Backend Engineer (Python),,"Django, Celery, PostgreSQL, Redis, Kafka, RabbitMQ, Swagger/OpenAPI",69,
Python Developer Middle/Senior,3,"selenium, bs4, sqlalchemy, aiogram, requests",37,
Machine Learning Engineer,3,Machine Learning,16,
Python Developer,3,"Python, SQL, MSSQL, PostgreSQL, Django, Docker, Kubernetes",97,
Str.Middle/Senior Python Architect,,"Python, Postgres, SQL",59,до $5500
Senior Python Developer,3,"Python, Django",33,
Conversational AI Engineer (Python),3,Python,23,
Computer Vision Engineer,2,"scipy, OpenCV, TensorFlow, and PyTorch, Machine Learning, Python, numpy",91,
Full-stack Developer,,,32,
Senior Python developer - work only from Poland,,,7,
Backend Tech\Team Lead,,"Python, AWS, REST API",28,
GCP Developer,,"GCP, GCP/AWS",24,
Engineering Manager,,,86,
